_start,_end,_type,link,status,start_date,end_date,sourceID
221410,48369,intermediary_of,intermediary of,,,,Panama Papers
227461,48406,intermediary_of,intermediary of,,,,Panama Papers
218317,49331,intermediary_of,intermediary of,,,,Panama Papers
228381,48395,intermediary_of,intermediary of,,,,Panama Papers
221410,48462,intermediary_of,intermediary of,,,,Panama Papers
215645,50232,intermediary_of,intermediary of,,,,Panama Papers
219111,49115,intermediary_of,intermediary of,,,,Panama Papers
217216,49253,intermediary_of,intermediary of,,,,Panama Papers
218046,50065,intermediary_of,intermediary of,,,,Panama Papers
215645,50191,intermediary_of,intermediary of,,,,Panama Papers
227093,47757,intermediary_of,intermediary of,,,,Panama Papers
227093,47771,intermediary_of,intermediary of,,,,Panama Papers
221410,48857,intermediary_of,intermediary of,,,,Panama Papers
215645,48167,intermediary_of,intermediary of,,,,Panama Papers
218046,50570,intermediary_of,intermediary of,,,,Panama Papers
215645,50967,intermediary_of,intermediary of,,,,Panama Papers
227461,48541,intermediary_of,intermediary of,,,,Panama Papers
226056,48884,intermediary_of,intermediary of,,,,Panama Papers
221410,48881,intermediary_of,intermediary of,,,,Panama Papers
221410,50521,intermediary_of,intermediary of,,,,Panama Papers
215875,49274,intermediary_of,intermediary of,,,,Panama Papers
221410,49040,intermediary_of,intermediary of,,,,Panama Papers
228588,49342,intermediary_of,intermediary of,,,,Panama Papers
215875,49381,intermediary_of,intermediary of,,,,Panama Papers
215875,50378,intermediary_of,intermediary of,,,,Panama Papers
219373,51362,intermediary_of,intermediary of,,,,Panama Papers
227726,51829,intermediary_of,intermediary of,,,,Panama Papers
218907,51844,intermediary_of,intermediary of,,,,Panama Papers
216319,51537,intermediary_of,intermediary of,,,,Panama Papers
215875,51224,intermediary_of,intermediary of,,,,Panama Papers
221410,50537,intermediary_of,intermediary of,,,,Panama Papers
221410,52539,intermediary_of,intermediary of,,,,Panama Papers
217933,52523,intermediary_of,intermediary of,,,,Panama Papers
221410,48766,intermediary_of,intermediary of,,,,Panama Papers
221410,49955,intermediary_of,intermediary of,,,,Panama Papers
218317,52353,intermediary_of,intermediary of,,,,Panama Papers
222156,52395,intermediary_of,intermediary of,,,,Panama Papers
221410,52286,intermediary_of,intermediary of,,,,Panama Papers
221410,49877,intermediary_of,intermediary of,,,,Panama Papers
222156,49697,intermediary_of,intermediary of,,,,Panama Papers
214687,50865,intermediary_of,intermediary of,,,,Panama Papers
216319,50713,intermediary_of,intermediary of,,,,Panama Papers
