geonameid,name,country,subcountry,country_code
7645166,San Miguel,Argentina,Buenos Aires,ARG
7647007,San Carlos de Bariloche,Argentina,Rio Negro,ARG
10172104,Adrogué,Argentina,Buenos Aires,ARG
11147723,Ingeniero Pablo Nogués,Argentina,Buenos Aires,ARG
12076997,José C. Paz,Argentina,Buenos Aires,ARG
12501204,Santa María,Argentina,Buenos Aires,ARG
5881576,Pago Pago,American Samoa,Eastern District,ASM
2761164,Wilten,Austria,Tyrol,AUT
2761353,Wiener Neustadt,Austria,Lower Austria,AUT
2761369,Vienna,Austria,Vienna,AUT
2761436,Wetzelsdorf,Austria,Styria,AUT
2761524,Wels,Austria,Upper Austria,AUT
2761669,Weinzierl bei Krems,Austria,Lower Austria,AUT
2762372,Villach,Austria,Carinthia,AUT
2763810,Telfs,Austria,Tyrol,AUT
2764178,Straßgang,Austria,Styria,AUT
2764279,Stockerau,Austria,Lower Austria,AUT
2764359,Steyr,Austria,Upper Austria,AUT
2765028,Simmering,Austria,Vienna,AUT
2766429,Sankt Pölten,Austria,Lower Austria,AUT
2766446,Sankt Peter,Austria,Styria,AUT
2766447,Sankt Peter,Austria,Carinthia,AUT
2766522,Sankt Martin,Austria,Carinthia,AUT
2766824,Salzburg,Austria,Salzburg,AUT
2766922,Saalfelden am Steinernen Meer,Austria,Salzburg,AUT
2768442,Pradl,Austria,Tyrol,AUT
2769110,Perchtoldsdorf,Austria,Lower Austria,AUT
2769359,Ottakring,Austria,Vienna,AUT
2771335,Mödling,Austria,Lower Austria,AUT
2771706,Meidling,Austria,Vienna,AUT
2772173,Lustenau,Austria,Vorarlberg,AUT
2772400,Linz,Austria,Upper Austria,AUT
2773913,Klosterneuburg,Austria,Lower Austria,AUT
2774326,Klagenfurt am Wörthersee,Austria,Carinthia,AUT
2775220,Innsbruck,Austria,Tyrol,AUT
2775260,Innere Stadt,Austria,Vienna,AUT
2775479,Hötting,Austria,Tyrol,AUT
2775742,Hohenems,Austria,Vorarlberg,AUT
2776421,Hietzing,Austria,Vienna,AUT
2776488,Hernals,Austria,Vienna,AUT
2778067,Graz,Austria,Styria,AUT
2779469,Floridsdorf,Austria,Vienna,AUT
2779674,Feldkirch,Austria,Vorarlberg,AUT
2780361,Eggenberg,Austria,Styria,AUT
2780741,Dornbirn,Austria,Vorarlberg,AUT
2781503,Bregenz,Austria,Vorarlberg,AUT
2782067,Baden,Austria,Lower Austria,AUT
2782555,Amstetten,Austria,Lower Austria,AUT
8063098,Favoriten,Austria,Vienna,AUT
11903636,Donaustadt,Austria,Vienna,AUT
11903637,Jakomini,Austria,Styria,AUT
11903638,Lend,Austria,Styria,AUT
11903639,Geidorf,Austria,Styria,AUT
11903640,Sankt Leonhard,Austria,Styria,AUT
11903641,Andritz,Austria,Styria,AUT
11903642,Gries,Austria,Styria,AUT
2061840,Scarborough,Australia,Western Australia,AUS
2062338,Rockingham,Australia,Western Australia,AUS
2063523,Perth,Australia,Western Australia,AUS
2065594,Mount Isa,Australia,Queensland,AUS
2065740,Morphett Vale,Australia,South Australia,AUS
2067119,Mandurah,Australia,Western Australia,AUS
2068079,Kwinana,Australia,Western Australia,AUS
2070571,Gosnells,Australia,Western Australia,AUS
2070998,Geraldton,Australia,Western Australia,AUS
2071059,Gawler,Australia,South Australia,AUS
2073124,Darwin,Australia,Northern Territory,AUS
2075230,Byford,Australia,Western Australia,AUS
2075265,Busselton,Australia,Western Australia,AUS
2075432,Bunbury,Australia,Western Australia,AUS
2077454,Australind,Australia,Western Australia,AUS
2077895,Alice Springs,Australia,Northern Territory,AUS
