_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
651054,233058,Ratcliff Group Ltd,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,16-MAR-2001,,,01-NOV-2004,Dead,Commonwealth Trust Limited,436602,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
651238,233059,Green Cove Holdings Inc.,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,16-MAR-2001,,,01-NOV-2009,Dead,Commonwealth Trust Limited,436601,USA;VGB,United States;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
567236,134756,CYBER GROUP CENTURY CORP.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,13-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,454155,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
626686,200293,Valuable Trade Limited,,,XXX,Undetermined,Standard Company under IBC Act,ABI Trust Ltd. ABI Financial Centre 156 Redcliffe Street St. John's Antigua RT BVI,,25-FEB-2002,,,28-SEP-2004,Dead,Commonwealth Trust Limited,484536,ATG;XXX,Antigua and Barbuda;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
660675,200299,Sunlight World Holdings Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"Sealight Incorporations Limited Room 1201, Connaught Commercial Building 185 Wanchai Road Wanchai, Hong Kong RT BVI",,14-MAR-2002,,,,Active,Commonwealth Trust Limited,486941,VGB;HKG,British Virgin Islands;Hong Kong,Offshore Leaks,The Offshore Leaks data is current through 2010,
573388,134773,BIO GARDEN INC.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,16-JUL-2001,,,,Active,Portcullis Trustnet,454211,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
626262,200315,"CBN Enterprises, Corp.",,,XXX,Undetermined,Standard Company under IBC Act,G.S.L. Law & Consulting SHIPPING ADDRESS: Russian Federation Billing/Invoice address ONLY: 29A Anna Komnini Street P.O. Box 22303 1520 Nicosia Cyprus,,18-MAR-2002,,,,Active,Commonwealth Trust Limited,487450,VGB;RUS,British Virgin Islands;Russia,Offshore Leaks,The Offshore Leaks data is current through 2010,
629690,200316,Galleon Strategic Management Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,18-MAR-2002,,,01-NOV-2004,Dead,Commonwealth Trust Limited,487266,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
619135,200325,Super United Capital Investments Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"Sealight Incorporations Limited Room 1201, Connaught Commercial Building 185 Wanchai Road Wanchai, Hong Kong RT BVI",,14-MAR-2002,,,01-NOV-2003,Dead,Commonwealth Trust Limited,486957,HKG;XXX,Hong Kong;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
629693,200339,N.C.O. Holdings Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,22-FEB-2001,,,01-NOV-2003,Dead,Commonwealth Trust Limited,433381,XXX;USA,Not identified;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
651093,233112,Broadhurst Capital Corp.,,,XXX,Undetermined,,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,24-SEP-1996,,,,Dead,Commonwealth Trust Limited,,XXX;USA,Not identified;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
606130,167593,Pipeline Finance Limited,,,COOK,Cook Islands,Standard International Company,,,07-MAY-1997,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,328897,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
